idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_topN
0;AV ANTONIO PIRANGA CENTRO;614,0;107930;AVENIDA  ANTONIO PIRANGA CENTRO;615;100,0;99,84;99,98;"AVENIDA  ANTONIO PIRANGA CENTRO 615 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 631 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 596 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 595 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 641 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 588 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 583 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 578 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 655 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 556 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 540 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 700 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 703 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 516 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 506 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 506 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 504 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 504 | Score Final: 98"
1;AVENIDA ANTONIO PIRANGA CENTRO;700,0;50282;AVENIDA  ANTONIO PIRANGA CENTRO;700;100,0;100,0;100,0;"AVENIDA  ANTONIO PIRANGA CENTRO 700 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 703 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 655 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 641 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 631 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 615 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 596 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 595 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 588 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 583 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 841 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 847 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 578 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 877 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 556 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 887 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 540 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Score Final: 97; AVENIDA  ANTONIO PIRANGA CENTRO 516 | Score Final: 97"
2;AV ANTONIO PIRANGA CENTRO;614,0;107930;AVENIDA  ANTONIO PIRANGA CENTRO;615;100,0;99,84;99,98;"AVENIDA  ANTONIO PIRANGA CENTRO 615 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 631 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 596 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 595 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 641 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 588 | Score Final: 100; AVENIDA  ANTONIO PIRANGA CENTRO 583 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 578 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 655 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 556 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 540 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 700 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 703 | Score Final: 99; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 520 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 516 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 506 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 506 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 504 | Score Final: 98; AVENIDA  ANTONIO PIRANGA CENTRO 504 | Score Final: 98"
3;RUA DOS CARIRIS PIRAPORINHA;195,0;3541;RUA  DOS CARIRIS PIRAPORINHA;195;100,0;100,0;100,0;"RUA  DOS CARIRIS PIRAPORINHA 195 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 195 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 194 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 202 | Score Final: 100; RUA  DOS CARIRIS PIRAPORINHA 206 | Score Final: 99; RUA  DOS CARIRIS PIRAPORINHA 210 | Score Final: 99; RUA  DOS CARIRIS PIRAPORINHA 214 | Score Final: 99; RUA  DOS CARIRIS PIRAPORINHA 222 | Score Final: 99; AVENIDA  PIRAPORINHA PIRAPORINHA 169 | Score Final: 99; RUA  DOS CARIRIS PIRAPORINHA 226 | Score Final: 99; RUA  DOS CARIRIS PIRAPORINHA 226 | Score Final: 99; RUA  DOS CARIRIS PIRAPORINHA 230 | Score Final: 98; RUA  DOS CARIRIS PIRAPORINHA 230 | Score Final: 98; RUA  DOS CARIRIS PIRAPORINHA 230 | Score Final: 98; RUA  DOS CARIRIS PIRAPORINHA 236 | Score Final: 98; RUA  DOS CARIRIS PIRAPORINHA 236 | Score Final: 98"
4;RUA MOACIAR GOULART CUNHA CALDAS CENTRO;111,0;93387;RUA  JAU CENTRO;102;75,0;91,89;76,69;"RUA  JAU CENTRO 102 | Score Final: 77; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 111 | Score Final: 76; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 112 | Score Final: 76; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 109 | Score Final: 76; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 108 | Score Final: 76; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 118 | Score Final: 76; RUA  JAU CENTRO 92 | Score Final: 76; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 121 | Score Final: 76; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 121 | Score Final: 76; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 101 | Score Final: 76; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 122 | Score Final: 76; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 100 | Score Final: 76; RUA  JAU CENTRO 90 | Score Final: 76; RUA  JAU CENTRO 90 | Score Final: 76; RUA  JAU CENTRO 90 | Score Final: 76; RUA  JAU CENTRO 90 | Score Final: 76; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 125 | Score Final: 75; RUA  JAU CENTRO 88 | Score Final: 75; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 128 | Score Final: 75; RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO 96 | Score Final: 75"
5;PRACA RUI BARBOSA PIRAPORINHA;27,0;160130;PRACA  RUI BARBOSA PIRAPORINHA;27;100,0;100,0;100,0;"PRACA  RUI BARBOSA PIRAPORINHA 27 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 19 | Score Final: 97; AVENIDA  PIRAPORINHA PIRAPORINHA 19 | Score Final: 97; AVENIDA  PIRAPORINHA PIRAPORINHA 19 | Score Final: 97; AVENIDA  PIRAPORINHA PIRAPORINHA 19 | Score Final: 97; AVENIDA  PIRAPORINHA PIRAPORINHA 43 | Score Final: 96; AVENIDA  PIRAPORINHA PIRAPORINHA 49 | Score Final: 96; AVENIDA  PIRAPORINHA PIRAPORINHA 51 | Score Final: 95; AVENIDA  PIRAPORINHA PIRAPORINHA 57 | Score Final: 95; AVENIDA  PIRAPORINHA PIRAPORINHA 57 | Score Final: 95; AVENIDA  PIRAPORINHA PIRAPORINHA 57 | Score Final: 95; AVENIDA  PIRAPORINHA PIRAPORINHA 57 | Score Final: 95; AVENIDA  PIRAPORINHA PIRAPORINHA 61 | Score Final: 94; AVENIDA  PIRAPORINHA PIRAPORINHA 65 | Score Final: 94; AVENIDA  PIRAPORINHA PIRAPORINHA 11 | Score Final: 94; AVENIDA  PIRAPORINHA PIRAPORINHA 83 | Score Final: 93; AVENIDA  PIRAPORINHA PIRAPORINHA 91 | Score Final: 93; AVENIDA  PIRAPORINHA PIRAPORINHA 91 | Score Final: 93; AVENIDA  PIRAPORINHA PIRAPORINHA 91 | Score Final: 93; AVENIDA  PIRAPORINHA PIRAPORINHA 91 | Score Final: 93"
6;AV NOSSA SENHORA DOS NAVEGANTES ELDORADO;288,0;43091;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;289;100,0;99,65;99,97;"AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 289 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 289 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 299 | Score Final: 100; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 307 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 307 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 307 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 311 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 259 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 321 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 321 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 332 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 247 | Score Final: 99; AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO 247 | Score Final: 99"
7;RUA CAPIBARIBE JARDIM CAMPANARIO;193,0;115200;RUA  CAPIBARIBE CAMPANARIO;193;100,0;100,0;100,0;"RUA  CAPIBARIBE CAMPANARIO 193 | Score Final: 100; RUA  CAPIBARIBE CAMPANARIO 200 | Score Final: 100; RUA  CAPIBARIBE CAMPANARIO 200 | Score Final: 100; RUA  CAPIBARIBE CAMPANARIO 182 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 182 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 208 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 179 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 216 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 170 | Score Final: 99; RUA  CAPIBARIBE CAMPANARIO 161 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 154 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 154 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 154 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 153 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 153 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 153 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 149 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 146 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 146 | Score Final: 98; RUA  CAPIBARIBE CAMPANARIO 140 | Score Final: 97"
8;AV PIRAPORINHA PIRAPORINHA;1682,0;30100;AVENIDA  PIRAPORINHA PIRAPORINHA;1682;100,0;100,0;100,0;"AVENIDA  PIRAPORINHA PIRAPORINHA 1682 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1683 | Score Final: 100; AVENIDA  FAGUNDES DE OLIVEIRA PIRAPORINHA 1680 | Score Final: 100; AVENIDA  FAGUNDES DE OLIVEIRA PIRAPORINHA 1685 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1687 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1677 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1691 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1673 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 100; AVENIDA  PIRAPORINHA PIRAPORINHA 1695 | Score Final: 100"
9;RUA JOSE BONIFACIO SERRARIA;1641,0;74232;RUA  JOSE BONIFACIO SERRARIA;1641;100,0;100,0;100,0;"RUA  JOSE BONIFACIO SERRARIA 1641 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1642 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1636 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1650 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1650 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1650 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1650 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1650 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1630 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1630 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1630 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1656 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1656 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1656 | Score Final: 100; RUA  JOSE BONIFACIO SERRARIA 1660 | Score Final: 100"
