idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_topN;similaridade
20;AV ELDORADO JARDIM RUYCE;817,0;4915;AVENIDA  ELDORADO JARDIM RUYCE;729;100,0;0,0;90,0;"AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100); AVENIDA  ELDORADO JARDIM RUYCE (100)";90,0
21;RUA ODETE AMARAL DE OLIVEIRA PRQ REAL;129,0;86327;RUA  ODETE AMARAL DE OLIVEIRA SERRARIA;155;86,49;48,0;82,64;"RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86); RUA  ODETE AMARAL DE OLIVEIRA SERRARIA (86)";82,64
22;RUA PRUDENTE DE MORAIS JARDIM CASA GRANDE;300,0;70572;RUA  PRUDENTE DE MORAIS CASA GRANDE;713;100,0;0,0;90,0;"RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100); RUA  PRUDENTE DE MORAIS CASA GRANDE (100)";90,0
23;AV LICO MAIA SERRARIA;803,0;11343;AVENIDA  LICO MAIA SERRARIA;803;100,0;100,0;100,0;"AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100); AVENIDA  LICO MAIA SERRARIA (100)";100,0
24;AVN PRESIDENTE JUSCELINO PIRAPORINHA;759,0;21;AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA;330;100,0;0,0;90,0;"AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100)";90,0
25;AVENIDA SINESIO PEREIRA CAMPANARIO;27,0;25087;AVENIDA  SYNESIO PEREIRA CAMPANARIO;27;97,06;100,0;97,35;"AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97); AVENIDA  SYNESIO PEREIRA CAMPANARIO (97)";97,35
26;AVENIDA AFRANIO PEIXOTO VILA PAULINA;643,0;12332;AVENIDA  AFRANIO PEIXOTO ELDORADO;27;83,64;0,0;75,27;"AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84); AVENIDA  AFRANIO PEIXOTO ELDORADO (84)";75,27
27;RUA ITALIA JARDIM DAS NACOES;290,0;227;RUA  ITALIA TABOAO;540;74,07;0,0;66,67;"RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74); RUA  ITALIA TABOAO (74)";66,67
28;RUA GRACIOSA CENTRO;;15506;RUA  GRACIOSA CENTRO;187;100,0;0,0;90,0;"RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100); RUA  GRACIOSA CENTRO (100)";90,0
29;RUA CARAMURU VL CONCEICAO;1255,0;34345;RUA  CARAMURU CONCEICAO;1272;100,0;66,0;96,6;"RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100); RUA  CARAMURU CONCEICAO (100)";96,6
30;RUA MANOEL DA NOBREGA VL CONCEICAO;605,0;85295;RUA  MANOEL DA NOBREGA CONCEICAO;1691;100,0;0,0;90,0;"RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100); RUA  MANOEL DA NOBREGA CONCEICAO (100)";90,0
31;AVENIDA ANTONIO PIRANGA CENTRO;700,0;551;AVENIDA  ANTONIO PIRANGA CENTRO;125;100,0;0,0;90,0;"AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100)";90,0
32;RUA NELSON RODRIGUES VL CONCEICAO;191,0;67716;RUA  NELSON RODRIGUES CONCEICAO;191;100,0;100,0;100,0;"RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100); RUA  NELSON RODRIGUES CONCEICAO (100)";100,0
33;RUA SANTO AMARO CENTRO;92,0;43313;RUA SANTO AMARO CENTRO;93;100,0;98,0;99,8;"RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100); RUA SANTO AMARO CENTRO (100)";99,8
34;RUA COIMBRA CENTRO;760,0;31694;RUA  COIMBRA CENTRO;642;100,0;0,0;90,0;"RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100); RUA  COIMBRA CENTRO (100)";90,0
35;RUA BOROROS CONCEICAO;80,0;51798;RUA  BOROROS CONCEICAO;536;100,0;0,0;90,0;"RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100); RUA  BOROROS CONCEICAO (100)";90,0
36;AVENIDA ANTONIO PIRANGA CENTRO;556,0;551;AVENIDA  ANTONIO PIRANGA CENTRO;125;100,0;0,0;90,0;"AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100)";90,0
37;RUA JAVARI JARDIM PAINEIRAS;635,0;21410;RUA  JAVARI TABOAO;635;74,07;100,0;76,67;"RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74); RUA  JAVARI TABOAO (74)";76,67
38;RUA SAO JORGE CENTRO;98,0;2861;RUA SAO JORGE CENTRO;327;100,0;0,0;90,0;"RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100); RUA SAO JORGE CENTRO (100)";90,0
39;ANTONIO PIRANGA CENTRO;556,0;551;AVENIDA  ANTONIO PIRANGA CENTRO;125;100,0;0,0;90,0;"AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100)";90,0
40;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332,0;938;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332;100,0;100,0;100,0;"AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100)";100,0
