idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_topN;similaridade
25;AVENIDA SINESIO PEREIRA CAMPANARIO;27,0;24280;AVENIDA  SYNESIO PEREIRA CAMPANARIO;147;97,06;0,0;87,35;AVENIDA  SYNESIO PEREIRA CAMPANARIO (97);87,35
26;AVENIDA AFRANIO PEIXOTO VILA PAULINA;643,0;12332;AVENIDA  AFRANIO PEIXOTO ELDORADO;27;83,64;0,0;75,27;AVENIDA  AFRANIO PEIXOTO ELDORADO (84);75,27
27;RUA ITALIA JARDIM DAS NACOES;290,0;227;RUA  ITALIA TABOAO;540;74,07;0,0;66,67;RUA  ITALIA TABOAO (74);66,67
28;RUA GRACIOSA CENTRO;;15506;RUA  GRACIOSA CENTRO;187;100,0;0,0;90,0;RUA  GRACIOSA CENTRO (100);90,0
29;RUA CARAMURU VL CONCEICAO;1255,0;16804;RUA  CARAMURU CONCEICAO;1174;100,0;0,0;90,0;RUA  CARAMURU CONCEICAO (100);90,0
30;RUA MANOEL DA NOBREGA VL CONCEICAO;605,0;85295;RUA  MANOEL DA NOBREGA CONCEICAO;1691;100,0;0,0;90,0;RUA  MANOEL DA NOBREGA CONCEICAO (100);90,0
31;AVENIDA ANTONIO PIRANGA CENTRO;700,0;551;AVENIDA  ANTONIO PIRANGA CENTRO;125;100,0;0,0;90,0;AVENIDA  ANTONIO PIRANGA CENTRO (100);90,0
32;RUA NELSON RODRIGUES VL CONCEICAO;191,0;65878;RUA  NELSON RODRIGUES CONCEICAO;91;100,0;0,0;90,0;RUA  NELSON RODRIGUES CONCEICAO (100);90,0
33;RUA SANTO AMARO CENTRO;92,0;43078;RUA SANTO AMARO CENTRO;184;100,0;0,0;90,0;RUA SANTO AMARO CENTRO (100);90,0
34;RUA COIMBRA CENTRO;760,0;31694;RUA  COIMBRA CENTRO;642;100,0;0,0;90,0;RUA  COIMBRA CENTRO (100);90,0
35;RUA BOROROS CONCEICAO;80,0;51798;RUA  BOROROS CONCEICAO;536;100,0;0,0;90,0;RUA  BOROROS CONCEICAO (100);90,0
36;AVENIDA ANTONIO PIRANGA CENTRO;556,0;551;AVENIDA  ANTONIO PIRANGA CENTRO;125;100,0;0,0;90,0;AVENIDA  ANTONIO PIRANGA CENTRO (100);90,0
37;RUA JAVARI JARDIM PAINEIRAS;635,0;21335;RUA  JAVARI TABOAO;647;74,07;76,0;74,27;RUA  JAVARI TABOAO (74);74,27
38;RUA SAO JORGE CENTRO;98,0;2861;RUA SAO JORGE CENTRO;327;100,0;0,0;90,0;RUA SAO JORGE CENTRO (100);90,0
39;ANTONIO PIRANGA CENTRO;556,0;551;AVENIDA  ANTONIO PIRANGA CENTRO;125;100,0;0,0;90,0;AVENIDA  ANTONIO PIRANGA CENTRO (100);90,0
40;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332,0;247;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;130;100,0;0,0;90,0;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100);90,0
